gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
,The AES Corporation ,0,,9/16/2011,Steadfast Ins. Co. v. The AES Corp.,,,,Negative,,
,The AES Corporation ,,,4/20/2012,Steadfast Ins. Co. v. The AES Corp.,,,,Negative,,
,"Allbirds, Inc",,,4/18/2022,"Dwyer v. Allbirds, Inc.",,,,Positive,,
,Xstrata PLC,,,2/15/2007,"Queensland Conservation Council Inc. v. Xstrata Coal (Queensland Court of Appeal, 2007)",,,,Positive ,,
,Xstrata PLC,,,10/12/2007,"Queensland Conservation Council Inc. v. Xstrata Coal (Queensland Court of Appeal, 2007)",,,,Negative ,,
,Kobe Steel Ltd,,,3/20/2023,"Citizens’ Committee on the Kobe Coal Fired Power Plant v. Kobe Steel Ltd., et al.",,,,Positive ,,
,Brookfield Renewable Partners,,,2/24/2022,Atlantic Salmon Federation v. Merimil LP,,,,Positive,,
,Shell PLC,,,8/26/2021,"RCC Ruling on Shell ""Drive CO2 neutral"" 2",,,,Negative,,
,Shell PLC,,,8/26/2021,"RCC Ruling on Shell ""Drive CO2 neutral"" 1",,,,Negative,,
,Delta Air Lines Inc,,,3/28/2024,Berrin v. Delta Air Lines Inc.,,,,Negative,,
,Air France KLM ,,,8/26/2024,"Long v. Koninklijke Luchtvaart Maatschappij, N.V.",,,,Positive,,
,Etsy Inc.,,,10/12/2023,"Blackburn v. Etsy, Inc.",,,,Positive,,
,Etsy Inc.,,,12/14/2023,"Blackburn v. Etsy, Inc.",,,,Positive,,
,United Airlines Holdings Inc ,,,8/13/2024,"Zajac v. United Airlines, Inc.",,,,Positive,,
,Enviva Inc ,,,7/3/2024,Fanucchi v Enviva Inc.,,,,Positive,,
,Air France KLM SA,,,9/12/2023,"Dakus v. Koninklijke Luchtvaart Maatschappij, N.V.	1288",,,,Positive,,
,Renault SA,,,9/22/2022,Health and Sustainability Institute v. the Federal Union and others (Emission of pollutants by motor vehicles) (“Instituto Saúde e Sustentabilidade vs. União Federal e outros (Emissão de poluentes por veículos automotores),,,,Negative,,
,HSBC Holdings PLC,,,10/19/2022,ASA Ruling on HSBC UK Bank plc,,,,Negative,,
,Repsol SA,,,10/18/2023,ASA Ruling on Repsol SA (following a complaint by Adfree Cities),,,,Negative,,
,Shell PLC,,,6/7/2023,ASA Ruling on Shell UK Ltd (following a complaint by Adfree Cities),,,,Negative,,
,Postmedia Network Canada Corp ,,,2/5/2015,"Weaver v. Corcoran & Others (British Columbia Supreme Court, Canada, 2015)",,,,Negative,,
,Equinor ASA,,,6/16/2023,Sierra Club Canada Foundation et al. v. Minister of Environment and Climate Change Canada et al.,,,,Positive,,
,Equinor ASA,,,9/15/2023,Sierra Club Canada Foundation et al. v. Minister of Environment and Climate Change Canada et al.,,,,Negative,,
,Volkswagen AG,,,2/24/2023,Allhoff Cramer v. Volkswagen AG,,,,Positive ,,
